wavelength,black 2 (1.5 D),blue,blue flower,blue sky,bluish green,cyan,dark skin,foliage,green,light skin,magenta,moderate red,neutral 3.5 (1.05 D),neutral 5 (.70 D),neutral 6.5 (.44 D),neutral 8 (.23 D),orange,orange yellow,purple,purplish blue,red,white 9.5 (.05 D),yellow,yellow green
590.0,0.033,0.04,0.223,0.157,0.302,0.088,0.129,0.115,0.158,0.435,0.198,0.274,0.093,0.205,0.361,0.588,0.503,0.609,0.053,0.086,0.109,0.886,0.726,0.416
595.0,0.033,0.04,0.229,0.153,0.279,0.083,0.134,0.109,0.14,0.468,0.235,0.346,0.092,0.205,0.361,0.588,0.52,0.617,0.055,0.087,0.143,0.886,0.732,0.394
600.0,0.033,0.039,0.235,0.15,0.26,0.08,0.138,0.104,0.124,0.494,0.279,0.415,0.092,0.204,0.36,0.588,0.532,0.624,0.059,0.087,0.192,0.887,0.737,0.374
605.0,0.033,0.039,0.241,0.147,0.245,0.077,0.142,0.1,0.111,0.514,0.333,0.473,0.092,0.204,0.36,0.587,0.543,0.63,0.065,0.086,0.256,0.888,0.742,0.358
610.0,0.033,0.04,0.245,0.144,0.234,0.075,0.146,0.098,0.101,0.53,0.394,0.517,0.092,0.204,0.359,0.586,0.552,0.635,0.074,0.085,0.332,0.889,0.746,0.346
615.0,0.033,0.04,0.245,0.141,0.226,0.074,0.15,0.097,0.094,0.541,0.46,0.547,0.091,0.203,0.358,0.586,0.56,0.64,0.086,0.084,0.413,0.89,0.749,0.337
620.0,0.033,0.04,0.243,0.137,0.221,0.073,0.154,0.098,0.089,0.55,0.522,0.567,0.091,0.203,0.357,0.585,0.566,0.645,0.099,0.084,0.486,0.891,0.753,0.331
625.0,0.033,0.04,0.243,0.133,0.217,0.073,0.158,0.1,0.086,0.557,0.58,0.582,0.091,0.202,0.356,0.584,0.572,0.65,0.113,0.085,0.55,0.891,0.757,0.328
630.0,0.033,0.041,0.247,0.13,0.215,0.073,0.163,0.1,0.084,0.564,0.628,0.591,0.09,0.201,0.355,0.583,0.578,0.654,0.126,0.088,0.598,0.891,0.761,0.325
635.0,0.033,0.041,0.254,0.126,0.212,0.073,0.167,0.099,0.082,0.569,0.666,0.597,0.09,0.201,0.354,0.581,0.583,0.658,0.138,0.092,0.631,0.891,0.765,0.322
640.0,0.033,0.042,0.269,0.123,0.21,0.073,0.173,0.097,0.08,0.574,0.696,0.601,0.09,0.2,0.353,0.58,0.587,0.662,0.149,0.098,0.654,0.89,0.768,0.32
645.0,0.033,0.042,0.291,0.12,0.209,0.073,0.18,0.096,0.078,0.582,0.722,0.604,0.09,0.199,0.352,0.579,0.593,0.667,0.161,0.105,0.672,0.889,0.772,0.319
650.0,0.033,0.042,0.318,0.118,0.208,0.074,0.188,0.095,0.077,0.59,0.742,0.607,0.089,0.198,0.351,0.578,0.599,0.672,0.172,0.111,0.686,0.889,0.777,0.319
655.0,0.033,0.043,0.351,0.115,0.209,0.075,0.196,0.095,0.076,0.597,0.756,0.608,0.089,0.198,0.35,0.577,0.602,0.675,0.182,0.118,0.694,0.889,0.779,0.32
660.0,0.033,0.043,0.384,0.112,0.211,0.076,0.204,0.095,0.075,0.605,0.766,0.607,0.089,0.197,0.349,0.576,0.604,0.676,0.193,0.123,0.7,0.889,0.78,0.324
665.0,0.033,0.043,0.417,0.11,0.215,0.076,0.213,0.097,0.075,0.614,0.774,0.606,0.088,0.197,0.348,0.575,0.606,0.677,0.205,0.126,0.704,0.889,0.78,0.33
670.0,0.033,0.044,0.446,0.108,0.22,0.077,0.222,0.101,0.075,0.624,0.78,0.605,0.088,0.196,0.346,0.574,0.608,0.678,0.217,0.126,0.707,0.888,0.781,0.337
675.0,0.033,0.044,0.47,0.106,0.227,0.076,0.231,0.11,0.077,0.637,0.785,0.605,0.088,0.195,0.346,0.573,0.611,0.681,0.232,0.124,0.712,0.888,0.782,0.345
680.0,0.033,0.044,0.49,0.105,0.233,0.075,0.242,0.125,0.078,0.652,0.791,0.605,0.087,0.195,0.345,0.572,0.615,0.685,0.248,0.12,0.718,0.888,0.785,0.354
685.0,0.033,0.044,0.504,0.104,0.239,0.074,0.251,0.147,0.08,0.668,0.794,0.604,0.087,0.194,0.344,0.571,0.619,0.688,0.266,0.117,0.721,0.888,0.785,0.362
690.0,0.032,0.045,0.511,0.104,0.244,0.074,0.261,0.174,0.082,0.682,0.798,0.605,0.087,0.194,0.343,0.57,0.622,0.69,0.282,0.115,0.724,0.888,0.787,0.368
695.0,0.032,0.046,0.517,0.103,0.249,0.073,0.271,0.21,0.085,0.697,0.801,0.606,0.087,0.193,0.342,0.569,0.625,0.693,0.301,0.115,0.727,0.888,0.789,0.375
700.0,0.032,0.048,0.52,0.103,0.252,0.072,0.282,0.247,0.088,0.713,0.804,0.606,0.086,0.192,0.341,0.568,0.628,0.696,0.319,0.116,0.729,0.888,0.792,0.379
705.0,0.032,0.05,0.522,0.102,0.252,0.072,0.294,0.283,0.089,0.728,0.806,0.604,0.086,0.192,0.34,0.567,0.63,0.698,0.338,0.118,0.73,0.887,0.792,0.381
710.0,0.032,0.051,0.523,0.102,0.25,0.071,0.305,0.311,0.089,0.745,0.807,0.602,0.086,0.191,0.339,0.566,0.633,0.698,0.355,0.12,0.73,0.886,0.793,0.379
715.0,0.032,0.053,0.522,0.102,0.248,0.073,0.318,0.329,0.09,0.753,0.807,0.601,0.086,0.191,0.338,0.565,0.633,0.698,0.371,0.124,0.729,0.886,0.792,0.376
720.0,0.032,0.056,0.521,0.102,0.244,0.075,0.334,0.343,0.09,0.762,0.807,0.599,0.085,0.19,0.337,0.564,0.633,0.698,0.388,0.128,0.727,0.886,0.79,0.373
725.0,0.032,0.06,0.521,0.102,0.245,0.078,0.354,0.353,0.09,0.774,0.81,0.598,0.085,0.189,0.336,0.562,0.636,0.7,0.406,0.133,0.728,0.885,0.792,0.372
